date,amount,category,description
08-05-2023,1500,Income,Freelance
17-02-2024,450,Expense,Groceries
22-11-2023,3200,Income,Bonus
05-12-2023,750,Expense,Utilities
14-04-2024,1200,Income,Investment
27-07-2023,950,Expense,Rent
19-03-2024,2200,Income,Consulting
11-08-2023,680,Expense,Transportation
30-10-2023,3000,Income,Dividends
06-01-2024,850,Expense,Insurance
23-09-2023,2700,Income,Project
15-06-2024,400,Expense,Entertainment
02-02-2024,1800,Income,Salary
29-05-2023,1100,Expense,Vacation
12-03-2024,3400,Income,Contract
08-07-2023,550,Expense,Subscription
21-10-2023,2500,Income,Royalties
18-11-2023,980,Expense,Healthcare
07-08-2023,4000,Income,Sale
01-04-2024,620,Expense,Dining
26-05-2024,1300,Income,Reimbursement
14-09-2023,770,Expense,Maintenance
30-12-2023,2900,Income,Commission
25-02-2024,520,Expense,Gifts
09-06-2024,1600,Income,Savings
31-03-2024,830,Expense,Shopping
04-07-2023,2100,Income,Rental
13-10-2023,640,Expense,Fuel
19-01-2024,3100,Income,Pension
22-11-2023,480,Expense,Subscription





